Video ID number,Main entry gloss label,Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file
558,(L-X)INTERESTING,L-X,L-X,A,A,ASL_2011_06_14_Brady_scene41-camera1.mov
559,(L-X)THICK,L-X,,L-X,,ASL_2008_03_28_scene10-camera1.mov
207912,(L-X)THICK,L-X,,L-X,,ASL_2011_07_19_Brady_scene114-camera1.mov
544,(L)LEATHER,L,,L,,ASL_2008_02_01_scene45-camera1.mov
545,(L)LEATHER,L,,L,,ASL_2008_08_13_session2_scene1-camera1.mov
546,(L)LEATHER,L,,crvd-L,,ASL_2008_05_29b_scene18-camera1.mov
547,(L)LEATHER,L,,L,,ASL_2011_06_14_Brady_scene47-camera1.mov
39116,(L)LIVE+BOX/ROOM,L,L,B-L,B-L,ASL_2008_06_10_scene3-camera1.mov
39117,(L)LIVE+BOX/ROOM,L,L,B-L,B-L,ASL_2011_06_14_Brady_scene50-camera1.mov
553,(L)RIFLE,L,L,L,L,ASL_2008_02_29_scene15-camera1.mov
566,(M)ns-MEXICO,full-M,,full-M,,ASL_2011_06_14_Brady_scene56-camera1.mov
606,(P)PARANOID,K,K,K,K,ASL_2008_02_15_scene31-camera1.mov
607,(P)PARANOID,K,K,K,K,ASL_2011_07_19_Brady_scene26-camera1.mov
608,(P)PARTICIPATE,K,C,K,C,ASL_2008_02_15_scene31-camera1.mov
611,(P)PENIS,K,,K,,ASL_2008_02_15_scene34-camera1.mov
619,(R)BEST-FRIEND,R,,R,,ASL_2008_05_29a_scene39-camera1.mov
620,(R)BEST-FRIEND,R,,R,,ASL_2011_06_14_Brady_scene27-camera1.mov
654,(S)BOMB,S,S,S,S,ASL_2008_01_11_scene50-camera1.mov
655,(S)BOMB,S,S,S,S,ASL_2008_08_04_scene32-camera1.mov
656,(S)BOMB,S,S,S,S,ASL_2011_06_08_Brady_scene22-camera1.mov
658,(S)BROOM,S,S,S,S,ASL_2008_01_11_scene56-camera1.mov
207669,(S)BROOM,S,S,S,S,ASL_2008_08_04_scene36-camera1.mov
207670,(S)BROOM,S,S,S,S,ASL_2011_06_08_Brady_scene23-camera1.mov
659,(S)BROOM,S,S,S,S,ASL_2008_05_12a_scene35-camera1.mov
666,(S)KETCHUP,5,S,5,S,ASL_2008_02_01_scene40-camera1.mov
667,(S)KETCHUP,5,S,5,S,ASL_2008_08_13_scene33-camera1.mov
668,(S)KETCHUP,B-L,O,B-L,O,ASL_2011_06_14_Brady_scene44-camera1.mov
669,(S)KETCHUP,5,S,5,S,ASL_2008_05_29b_scene13-camera1.mov
670,(S)MOSQUITO,S,S,S,S,ASL_2008_02_15_scene10-camera1.mov
671,(S)MOSQUITO,S,S,S,S,ASL_2008_06_10_scene19-camera1.mov
672,(S)MOSQUITO,S,S,S,S,ASL_2011_07_19_Brady_scene6-camera1.mov
39138,(S)OLD+AVERAGE,S,,B-L,B-L,ASL_2008_02_29_scene6-camera1.mov
675,(S)PURSE,S,,S,,ASL_2011_07_19_Brady_scene47-camera1.mov
678,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_01_11_scene52-camera1.mov
679,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_02_29_scene14-camera1.mov
680,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_03_28_scene25-camera1.mov
681,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_05_12a_scene32-camera1.mov
682,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2008_08_04_scene33-camera1.mov
683,(U)BOWTIE,S,S,U,U,ASL_2011_06_08_Brady_scene22-camera1.mov
684,(U)BOWTIE,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov
685,(U)BOWTIE,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov
686,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene13-camera1.mov
687,(U)BOWTIE,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene56-camera1.mov
701,(V)CRAWL,V,B-L,crvd-V,B-L,ASL_2008_01_18_scene8-camera1.mov
702,(V)CRAWL,V,B-L,crvd-V,B-L,ASL_2008_08_06_scene8-camera1.mov
716,(X)FOOL/DOLL,X,,X,,ASL_2008_01_18_scene46-camera1.mov
207956,(X)FOOL/DOLL,X,,X,,ASL_2008_08_06_scene46-camera1.mov
207957,(X)FOOL/DOLL,X,,X,,ASL_2011_06_14_Brady_scene21-camera1.mov
718,(X)FOOL/DOLL,X,,X,,ASL_2008_01_18_scene21-camera1.mov
719,(X)FOOL/DOLL,X,,X,,ASL_2008_08_06_scene21-camera1.mov
720,(X)FOOL/DOLL,X,,X,,ASL_2011_06_08_Brady_scene37-camera1.mov
721,(X)FOOL/DOLL,X,,X,,ASL_2008_05_29a_scene1-camera1.mov
39152,(X)FOOL/DOLL+(D)DAY,X,,D,psv,ASL_2008_01_11_scene20-camera1.mov
39153,(X)FOOL/DOLL+(D)DAY,X,,D,psv,ASL_2011_06_08_Brady_scene12-camera1.mov
729,(Y)BATHING-SUIT,Y,Y,Y,Y,ASL_2008_03_28_scene2-camera1.mov
730,(Y)BATHING-SUIT,Y,Y,Y,Y,ASL_2010_08_10_Liz_additional_lexicon_signs_scene9-camera1.mov
731,(Y)BULL,Y,,Y,,ASL_2008_01_11_scene59-camera1.mov
732,(Y)BULL,Y,,Y,,ASL_2008_05_12a_scene36-camera1.mov
733,(Y)BULL,Y,,Y,,ASL_2008_08_04_scene37-camera1.mov
734,(Y)BULL,Y,,Y,,ASL_2011_06_08_Brady_scene24-camera1.mov
8822,"\WHAT\""""",5,5,5,5,ASL_2008_03_28_scene38-camera1.mov
8823,"\WHAT\""""",5,5,5,5,ASL_2008_03_28_scene39-camera1.mov
3,"\WHAT\""""",5,5,5,5,ASL_2006_01_20_scene22-camera1.mov
4,"\WHAT\""""",5,5,5,5,ASL_2011_07_22_Brady_scene27-camera1.mov
5,#AC,A,,C,,ASL_2008_01_11_scene4-camera1.mov
6,#AC,A,,C,,ASL_2008_05_12a_scene3-camera1.mov
7,#AC,A,,C,,ASL_2008_08_04_scene3-camera1.mov
8,#AC,A,,C,,ASL_2011_07_22_Brady_scene37-camera1.mov
9,#ALL,A,,L,,ASL_2008_01_11_scene12-camera1.mov
10,#ALL,A,,L,,ASL_2008_05_12a_scene9-camera1.mov
11,#ALL,A,,L,,ASL_2008_08_04_scene8-camera1.mov
12,#ALL,A,,L,,ASL_2011_06_08_Brady_scene10-camera1.mov
13,#ALL,A,,L,,ASL_2007_05_24_scene5-camera1.mov
14,#ALL,A,,L,,ASL_2006_10_10_scene2-camera1.mov
15,#ASL,A,,L,,ASL_2008_01_11_scene23-camera1.mov
16,#ASL,A,,L,,ASL_2008_05_12a_scene10-camera1.mov
17,#ASL,A,,L,,ASL_2008_05_12a_scene15-camera1.mov
18,#ASL,A,,L,,ASL_2008_08_04_scene15-camera1.mov
19,#ASL,A,,L,,ASL_2011_06_08_Brady_scene11-camera1.mov
20,#ASL,A,,L,,ASL_2011_06_08_Brady_scene13-camera1.mov
272,#BACK,B-xd,B-xd,K,K,ASL_2008_01_11_scene28-camera1.mov
273,#BACK,B-L,B-L,3,3,ASL_2011_06_08_Brady_scene15-camera1.mov
21,#BACK,B,,K,,ASL_2008_01_11_scene28-camera1.mov
22,#BACK,S,,K,,ASL_2008_05_12a_scene18-camera1.mov
23,#BACK,flat-B,,3,,ASL_2011_06_08_Brady_scene15-camera1.mov
24,#BACK,B,,K,,ASL_2008_08_04_scene18-camera1.mov
25,#BBQ,B,,G,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene24-camera1.mov
26,#BBQ,B,,alt-G_bent-L,,ASL_2011_06_08_Brady_scene16-camera1.mov
27,#BUS,B,,S,,ASL_2008_01_11_scene59-camera1.mov
28,#BUS,B,,S,,ASL_2008_05_12a_scene37-camera1.mov
29,#BUS,B,,S,,ASL_2008_08_04_scene38-camera1.mov
30,#BUS,B-xd,,S,,ASL_2011_06_08_Brady_scene24-camera1.mov
31,#CC,C,,C,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene9-camera1.mov
32,#CC,C,,C,,ASL_2011_06_08_Brady_scene26-camera1.mov
33,#CLUB,C,,B,,ASL_2006_10_10_scene2-camera1.mov
34,#CLUB,C,,B,,ASL_2007_05_24_scene5-camera1.mov
35,#CO,C,,O,,ASL_2008_01_11_scene61-camera1.mov
36,#CO,C,,O,,ASL_2008_05_12a_scene37-camera1.mov
37,#CO,C,,O,,ASL_2008_08_04_scene38-camera1.mov
38,#CO,C,,O,,ASL_2011_06_08_Brady_scene24-camera1.mov
39,#CP,C,,K,,ASL_2008_01_11_scene61-camera1.mov
40,#CP,C,,K,,ASL_2008_08_04_scene39-camera1.mov
41,#CP,C,,K,,ASL_2011_06_08_Brady_scene24-camera1.mov
48,#EARLY,E,,Y,,ASL_2008_01_18_scene27-camera1.mov
49,#EARLY,E,,Y,,ASL_2008_01_18_scene27-camera1.mov
50,#EARLY,E,,Y,,ASL_2011_06_14_Brady_scene9-camera1.mov
51,#EARLY,E,,Y,,ASL_2011_06_14_Brady_scene9-camera1.mov
149,#ED,E,,D,,ASL_2008_01_18_scene28-camera1.mov
52,#ED,E,E,D,D,ASL_2010_08_10_Liz_additional_lexicon_signs_scene11-camera1.mov
53,#ED,loose-E,loose-E,D,D,ASL_2008_05_29a_scene8-camera1.mov
54,#ED,E,E,D,D,ASL_2008_08_06_scene28-camera1.mov
55,#ED,E,E,D,D,ASL_2011_06_14_Brady_scene10-camera1.mov
56,#FF,F,,F,,ASL_2008_01_18_scene49-camera1.mov
57,#FF,F,,F,,ASL_2008_05_29a_scene30-camera1.mov
58,#FF,F,,F,,ASL_2008_08_06_scene49-camera1.mov
59,#FF,F,,F,,ASL_2011_06_14_Brady_scene23-camera1.mov
60,#FF,F,,F,,ASL_2007_05_24_scene15-camera1.mov
61,#FF,F,,F,,ASL_2006_10_10_scene11-camera1.mov
62,#FIX,F,,X,,ASL_2008_01_18_scene43-camera1.mov
63,#FIX,F,,X,,ASL_2008_05_29a_scene23-camera1.mov
64,#FIX,F,,X,,ASL_2008_08_06_scene43-camera1.mov
65,#HA-HA,U-L,,10,,ASL_2011_06_14_Brady_scene30-camera1.mov
66,#HA-HA,U-L,,10,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene20-camera1.mov
67,#HR,U,,R,,ASL_2008_02_01_scene15-camera1.mov
68,#HR,U,,R,,ASL_2008_05_29a_scene44-camera1.mov
69,#HR,U,,R,,ASL_2008_08_13_scene12-camera1.mov
70,#HR,U,,R,,ASL_2011_06_14_Brady_scene30-camera1.mov
72,#IF,I,,F,,ASL_2008_05_29b_scene4-camera1.mov
71,#IF,I,,F,,ASL_2008_02_01_scene29-camera1.mov
73,#IF,I,,F,,ASL_2011_06_14_Brady_scene39-camera1.mov
74,#IF,I,,F,,ASL_2008_08_13_scene24-camera1.mov
75,#JOB,I,,B,,ASL_2008_02_01_scene37-camera1.mov
76,#JOB,I,,B,,ASL_2011_06_14_Brady_scene43-camera1.mov
77,#JOB,I,,B,,ASL_2006_10_10_scene2-camera1.mov
78,#JOB,I,,B,,ASL_2008_08_13_scene31-camera1.mov
79,#JOB,I,,B,,ASL_2007_05_24_scene5-camera1.mov
80,#LAB,L,,B,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene31-camera1.mov
81,#LAB,L,,B-xd,,ASL_2011_06_14_Brady_scene46-camera1.mov
82,#MW,M,,W,,ASL_2008_02_01_scene56-camera1.mov
83,#NO,U-L,,flat-O_2,,ASL_2008_02_15_scene19-camera1.mov
84,#NO,U-L,,flat-O_2,,ASL_2006_10_10_scene19-camera1.mov
85,#NO,U-L,,flat-O_2,,ASL_2007_05_24_scene21-camera1.mov
86,#OD,O,,D,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene21-camera1.mov
87,#OD,O,,D,,ASL_2011_07_19_Brady_scene23-camera1.mov
88,#OFF,O,,F,,ASL_2008_02_15_scene23-camera1.mov
89,#OFF,O,,F,,ASL_2011_07_19_Brady_scene18-camera1.mov
90,#OK,O,,K,,ASL_2008_02_15_scene22-camera1.mov
91,#OK,O,,K,,ASL_2011_07_19_Brady_scene17-camera1.mov
92,#OR,O,,R,,ASL_2008_02_15_scene22-camera1.mov
93,#OR,O,,R,,ASL_2011_07_19_Brady_scene17-camera1.mov
274,#PE,K,K,E,E,ASL_2011_06_14_Brady_scene30-camera1.mov
94,#PE,K,,E,,ASL_2008_02_01_scene13-camera1.mov
95,#PE,K,,E,,ASL_2008_08_13_scene11-camera1.mov
96,#PE,K,,E,,ASL_2011_06_14_Brady_scene30-camera1.mov
97,#PIZZA,K,,A,,ASL_2008_02_15_scene40-camera1.mov
98,#PO,K,,O,,ASL_2008_02_15_scene45-camera1.mov
99,#PO,K,,O,,ASL_2011_07_19_Brady_scene39-camera1.mov
100,#REF,R,,F,,ASL_2008_02_29_scene8-camera1.mov
101,#REF,R,,F,,ASL_2011_07_19_Brady_scene53-camera1.mov
102,#RR,R,,R,,ASL_2008_02_29_scene13-camera1.mov
103,#RR,R,,R,,ASL_2011_07_19_Brady_scene58-camera1.mov
104,#RR,R,,R,,ASL_2007_05_24_scene25-camera1.mov
105,#SS,S,,S,,ASL_2008_02_29_scene37-camera1.mov
106,#SS,S,,S,,ASL_2011_07_19_Brady_scene89-camera1.mov
107,#TTY,T,,Y,,ASL_2008_03_28_scene24-camera1.mov
108,#TTY,T,,Y,,ASL_2011_07_22_Brady_scene12-camera1.mov
109,#TV,T,,V,,ASL_2008_03_28_scene7-camera1.mov
110,#TV,T,,V,,ASL_2011_07_19_Brady_scene111-camera1.mov
8685,#VP_2,V,,K,,ASL_2008_03_28_scene31-camera1.mov
8686,#VP_2,V,,K,,ASL_2011_07_22_Brady_scene20-camera1.mov
111,#WHAT,W,,T,,ASL_2008_03_28_scene39-camera1.mov
112,#WHAT,5,,T,,ASL_2011_07_22_Brady_scene27-camera1.mov
113,#WILL,W,,L,,ASL_2008_03_28_scene42-camera1.mov
114,#WILL,W,,L,,ASL_2011_07_22_Brady_scene30-camera1.mov
115,#WOW,W,,W,,ASL_2008_03_28_scene45-camera1.mov
116,#WOW,W,,W,,ASL_2011_07_22_Brady_scene33-camera1.mov
117,#YES,Y,,S,,ASL_2008_03_28_scene47-camera1.mov
119,#YES,Y,,S,,ASL_2011_07_22_Brady_scene35-camera1.mov
752,A,A,,A,,ASL_2008_01_11_scene4-camera1.mov
753,A,A,,A,,ASL_2008_05_12a_scene3-camera1.mov
754,A,A,,A,,ASL_2008_08_04_scene3-camera1.mov
755,A,A,,A,,ASL_2011_06_08_Brady_scene6-camera1.mov
756,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_02_15_scene50-camera1.mov
757,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_07_19_Brady_scene44-camera1.mov
758,A-LOT,5,5,5,5,ASL_2008_01_11_scene12-camera1.mov
759,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_02_01_scene25-camera1.mov
760,A-LOT,5,5,5,5,ASL_2008_05_12a_scene10-camera1.mov
761,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_05_29a_scene15-camera1.mov
762,A-LOT,5,5,crvd-5,crvd-5,ASL_2008_08_04_scene9-camera1.mov
763,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_08_13_scene21-camera1.mov
764,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene11-camera1.mov
765,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_14_Brady_scene14-camera1.mov
766,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_14_Brady_scene37-camera1.mov
767,ABANDON,S,S,5,5,ASL_2008_01_11_scene5-camera1.mov
768,ABANDON,S,S,5,5,ASL_2008_05_12a_scene3-camera1.mov
769,ABANDON,S,S,5,5,ASL_2011_06_08_Brady_scene6-camera1.mov
152,ABORTION,5,,5,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene5-camera1.mov
650,ABORTION,S,B-L,crvd-5,B-L,ASL_2008_05_12a_scene4-camera1.mov
771,ABORTION,crvd-5,B-L,5,B-L,ASL_2008_01_11_scene5-camera1.mov
772,ABORTION,5-C-L,5,5,5,ASL_2008_08_04_scene4-camera1.mov
590,ABOUT,1,flat-O,1,flat-O,ASL_2008_01_11_scene5-camera1.mov
591,ABOUT,1,flat-O,1,flat-O,ASL_2008_08_04_scene4-camera1.mov
773,ABOUT,1,1,1,1,ASL_2008_05_12a_scene4-camera1.mov
774,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_01_11_scene5-camera1.mov
775,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_08_04_scene4-camera1.mov
776,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_05_12a_scene4-camera1.mov
777,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_05_12a_scene4-camera1.mov
778,ABSENT,1,25,1,25,ASL_2008_02_15_scene6-camera1.mov
779,ABSENT,1,25,1,25,ASL_2011_07_19_Brady_scene3-camera1.mov
780,ABSTRACT,5,5,5,5,ASL_2010_08_10_Liz_additional_lexicon_signs_scene5-camera1.mov
781,ABSTRACT,5,5,5,5,ASL_2011_06_14_Brady_scene26-camera1.mov
782,ABUSE,A,1,A,1,ASL_2008_01_11_scene35-camera1.mov
783,ABUSE,A,1,A,1,ASL_2010_08_10_Liz_additional_lexicon_signs_scene23-camera1.mov
784,ABUSE,S,1,S,1,ASL_2011_06_08_Brady_scene8-camera1.mov
785,ABUSE,S,1,S,1,ASL_2011_06_08_Brady_scene17-camera1.mov
786,ABUSE,S,1,S,1,ASL_2008_05_12a_scene23-camera1.mov
787,ABUSE,S,1,S,1,ASL_2008_08_04_scene24-camera1.mov
788,ABUSE,S,1,S,1,ASL_2008_05_12a_scene23-camera1.mov
789,ACCEPT,5,5,flat-O,flat-O,ASL_2008_01_11_scene5-camera1.mov
790,ACCEPT,5,5,flat-O,flat-O,ASL_2008_05_12a_scene4-camera1.mov
791,ACCEPT,5,5,flat-O,flat-O,ASL_2008_08_04_scene4-camera1.mov
792,ACCEPT,5,5,flat-O,flat-O,ASL_2006_10_10_scene2-camera1.mov
793,ACCEPT,5,5,flat-O,flat-O,ASL_2007_05_24_scene5-camera1.mov
377,ACCIDENT,3,3,S,A,ASL_2008_05_12a_scene4-camera1.mov
391,ACCIDENT,5,5,A,A,ASL_2008_01_11_scene5-camera1.mov
392,ACCIDENT,5,5,10,10,ASL_2008_08_04_scene4-camera1.mov
393,ACCIDENT,5,5,S,S,ASL_2006_10_10_scene2-camera1.mov
394,ACCIDENT,5,5,S,S,ASL_2007_05_24_scene5-camera1.mov
794,ACCIDENT,S,S,S,S,ASL_2008_01_11_scene5-camera1.mov
795,ACCIDENT,S,S,S,S,ASL_2008_08_04_scene4-camera1.mov
796,ACCOMPANY,A,A,A,A,ASL_2008_01_11_scene5-camera1.mov
797,ACCOMPANY,A,A,A,A,ASL_2008_08_04_scene4-camera1.mov
798,ACQUIRE,open-8,open-8,8,8,ASL_2010_08_10_Liz_additional_lexicon_signs_scene5-camera1.mov
799,ACT,A,A,A,A,ASL_2008_01_18_scene23-camera1.mov
800,ACT,A,A,A,A,ASL_2008_08_04_scene5-camera1.mov
801,ACT,A,A,A,A,ASL_2008_08_06_scene23-camera1.mov
802,ACT,A,A,A,A,ASL_2011_06_14_Brady_scene6-camera1.mov
803,ACT,10,10,10,10,ASL_2011_07_22_Brady_scene42-camera1.mov
804,ACT,A,A,A,A,ASL_2008_01_11_scene6-camera1.mov
805,ACT,10,10,10,10,ASL_2008_05_12a_scene6-camera1.mov
806,ACT,10,10,10,10,ASL_2008_05_29a_scene3-camera1.mov
39159,ACT+AGENT,10,10,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov
39160,ACT+AGENT,A,A,B-L,B-L,ASL_2008_01_11_scene6-camera1.mov
39161,ACT+AGENT,10,10,B-L,B-L,ASL_2008_05_12a_scene6-camera1.mov
39162,ACT+AGENT,A,A,B-L,B-L,ASL_2008_08_04_scene5-camera1.mov
39163,ACT+AGENT,A,A,B-L,B-L,ASL_2011_06_08_Brady_scene15-camera1.mov
807,ACTION,C,C,C,C,ASL_2008_01_11_scene6-camera1.mov
808,ACTION,crvd-sprd-B,crvd-5,crvd-5,crvd-sprd-B,ASL_2008_01_18_scene20-camera1.mov
809,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_08_06_scene20-camera1.mov
810,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_01_11_scene38-camera1.mov
811,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_08_04_scene5-camera1.mov
812,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_08_04_scene25-camera1.mov
813,ACTION,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,ASL_2011_06_08_Brady_scene18-camera1.mov
814,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_05_12a_scene6-camera1.mov
815,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2006_10_10_scene3-camera1.mov
816,ADAPT,A,A,A,A,ASL_2011_06_08_Brady_scene26-camera1.mov
821,ADDICTED,X,,X,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene5-camera1.mov
822,ADDRESS,10,10,10,10,ASL_2008_01_11_scene6-camera1.mov
207837,ADDRESS,A,A,A,A,ASL_2008_08_04_scene5-camera1.mov
824,ADDRESS,A,A,A,A,ASL_2008_05_12a_scene6-camera1.mov
153,ADMIT,B-L,,B-L,,ASL_2008_05_12a_scene6-camera1.mov
825,ADMIT,B-L,B-L,B-L,B-L,ASL_2008_01_11_scene7-camera1.mov
826,ADMIT,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene5-camera1.mov
827,ADULT-TALL,bent-B-L,,bent-B-L,,ASL_2008_03_28_scene4-camera1.mov
828,ADULT-TALL,bent-B-L,,bent-B-L,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene1-camera1.mov
