video_id,main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,video_file,handedness,variant_1,variant_2,compounded_word,notes
33,CLUB,#CLUB,C,,B,,ASL_2006_10_10_scene2-camera1.mov,1,,,,fingerspelled
34,CLUB,#CLUB,C,,B,,ASL_2007_05_24_scene5-camera1.mov,1,,,,fingerspelled
35,CO,#CO,C,,O,,ASL_2008_01_11_scene61-camera1.mov,1,,,,fingerspelled
36,CO,#CO,C,,O,,ASL_2008_05_12a_scene37-camera1.mov,1,,,,fingerspelled
37,CO,#CO,C,,O,,ASL_2008_08_04_scene38-camera1.mov,1,,,,fingerspelled
38,CO,#CO,C,,O,,ASL_2011_06_08_Brady_scene24-camera1.mov,1,,,,fingerspelled
39,CP,#CP,C,,K,,ASL_2008_01_11_scene61-camera1.mov,1,,,,fingerspelled
40,CP,#CP,C,,K,,ASL_2008_08_04_scene39-camera1.mov,1,,,,fingerspelled
41,CP,#CP,C,,K,,ASL_2011_06_08_Brady_scene24-camera1.mov,1,,,,fingerspelled
48,EARLY,#EARLY,E,,Y,,ASL_2008_01_18_scene27-camera1.mov,1,,,,fingerspelled
49,EARLY,#EARLY,E,,Y,,ASL_2008_01_18_scene27-camera1.mov,1,,,,fingerspelled
50,EARLY,#EARLY,E,,Y,,ASL_2011_06_14_Brady_scene9-camera1.mov,1,,,,fingerspelled
51,EARLY,#EARLY,E,,Y,,ASL_2011_06_14_Brady_scene9-camera1.mov,1,,,,fingerspelled
149,ED,#ED,E,,D,,ASL_2008_01_18_scene28-camera1.mov,1,,,,fingerspelled
52,ED,#ED,E,E,D,D,ASL_2010_08_10_Liz_additional_lexicon_signs_scene11-camera1.mov,1,,,,fingerspelled
53,ED,#ED,loose-E,loose-E,D,D,ASL_2008_05_29a_scene8-camera1.mov,1,,,,fingerspelled
54,ED,#ED,E,E,D,D,ASL_2008_08_06_scene28-camera1.mov,1,,,,fingerspelled
55,ED,#ED,E,E,D,D,ASL_2011_06_14_Brady_scene10-camera1.mov,1,,,,fingerspelled
56,FF,#FF,F,,F,,ASL_2008_01_18_scene49-camera1.mov,1,,,,fingerspelled
57,FF,#FF,F,,F,,ASL_2008_05_29a_scene30-camera1.mov,1,,,,fingerspelled
58,FF,#FF,F,,F,,ASL_2008_08_06_scene49-camera1.mov,1,,,,fingerspelled
59,FF,#FF,F,,F,,ASL_2011_06_14_Brady_scene23-camera1.mov,1,,,,fingerspelled
60,FF,#FF,F,,F,,ASL_2007_05_24_scene15-camera1.mov,1,,,,fingerspelled
61,FF,#FF,F,,F,,ASL_2006_10_10_scene11-camera1.mov,1,,,,fingerspelled
62,FIX,#FIX,F,,X,,ASL_2008_01_18_scene43-camera1.mov,1,,,,fingerspelled
63,FIX,#FIX,F,,X,,ASL_2008_05_29a_scene23-camera1.mov,1,,,,fingerspelled
64,FIX,#FIX,F,,X,,ASL_2008_08_06_scene43-camera1.mov,1,,,,fingerspelled
65,HA HA,#HA-HA,U-L,,10,,ASL_2011_06_14_Brady_scene30-camera1.mov,1,,,,fingerspelled
66,HA HA,#HA-HA,U-L,,10,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene20-camera1.mov,1,,,,fingerspelled
67,HR,#HR,U,,R,,ASL_2008_02_01_scene15-camera1.mov,1,,,,fingerspelled
68,HR,#HR,U,,R,,ASL_2008_05_29a_scene44-camera1.mov,1,,,,fingerspelled
69,HR,#HR,U,,R,,ASL_2008_08_13_scene12-camera1.mov,1,,,,fingerspelled
70,HR,#HR,U,,R,,ASL_2011_06_14_Brady_scene30-camera1.mov,1,,,,fingerspelled
72,IF,#IF,I,,F,,ASL_2008_05_29b_scene4-camera1.mov,1,,,,fingerspelled
71,IF,#IF,I,,F,,ASL_2008_02_01_scene29-camera1.mov,1,,,,fingerspelled
73,IF,#IF,I,,F,,ASL_2011_06_14_Brady_scene39-camera1.mov,1,,,,fingerspelled
74,IF,#IF,I,,F,,ASL_2008_08_13_scene24-camera1.mov,1,,,,fingerspelled
75,JOB,#JOB,I,,B,,ASL_2008_02_01_scene37-camera1.mov,1,,,,fingerspelled
76,JOB,#JOB,I,,B,,ASL_2011_06_14_Brady_scene43-camera1.mov,1,,,,fingerspelled
77,JOB,#JOB,I,,B,,ASL_2006_10_10_scene2-camera1.mov,1,,,,fingerspelled
78,JOB,#JOB,I,,B,,ASL_2008_08_13_scene31-camera1.mov,1,,,,fingerspelled
79,JOB,#JOB,I,,B,,ASL_2007_05_24_scene5-camera1.mov,1,,,,fingerspelled
80,LAB,#LAB,L,,B,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene31-camera1.mov,1,,,,fingerspelled
81,LAB,#LAB,L,,B-xd,,ASL_2011_06_14_Brady_scene46-camera1.mov,1,,,,fingerspelled
82,MW,#MW,M,,W,,ASL_2008_02_01_scene56-camera1.mov,1,,,,fingerspelled
83,NO,#NO,U-L,,flat-O_2,,ASL_2008_02_15_scene19-camera1.mov,1,,,,fingerspelled
84,NO,#NO,U-L,,flat-O_2,,ASL_2006_10_10_scene19-camera1.mov,1,,,,fingerspelled
85,NO,#NO,U-L,,flat-O_2,,ASL_2007_05_24_scene21-camera1.mov,1,,,,fingerspelled
86,OD,#OD,O,,D,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene21-camera1.mov,1,,,,fingerspelled
87,OD,#OD,O,,D,,ASL_2011_07_19_Brady_scene23-camera1.mov,1,,,,fingerspelled
88,OFF,#OFF,O,,F,,ASL_2008_02_15_scene23-camera1.mov,1,,,,fingerspelled
89,OFF,#OFF,O,,F,,ASL_2011_07_19_Brady_scene18-camera1.mov,1,,,,fingerspelled
90,OK,#OK,O,,K,,ASL_2008_02_15_scene22-camera1.mov,1,,,,fingerspelled
91,OK,#OK,O,,K,,ASL_2011_07_19_Brady_scene17-camera1.mov,1,,,,fingerspelled
92,OR,#OR,O,,R,,ASL_2008_02_15_scene22-camera1.mov,1,,,,fingerspelled
93,OR,#OR,O,,R,,ASL_2011_07_19_Brady_scene17-camera1.mov,1,,,,fingerspelled
274,PE,#PE,K,K,E,E,ASL_2011_06_14_Brady_scene30-camera1.mov,1,,,,fingerspelled
94,PE,#PE,K,,E,,ASL_2008_02_01_scene13-camera1.mov,1,,,,fingerspelled
95,PE,#PE,K,,E,,ASL_2008_08_13_scene11-camera1.mov,1,,,,fingerspelled
96,PE,#PE,K,,E,,ASL_2011_06_14_Brady_scene30-camera1.mov,1,,,,fingerspelled
97,PIZZA,#PIZZA,K,,A,,ASL_2008_02_15_scene40-camera1.mov,1,,,,fingerspelled
98,PO,#PO,K,,O,,ASL_2008_02_15_scene45-camera1.mov,1,,,,fingerspelled
99,PO,#PO,K,,O,,ASL_2011_07_19_Brady_scene39-camera1.mov,1,,,,fingerspelled
100,REF,#REF,R,,F,,ASL_2008_02_29_scene8-camera1.mov,1,,,,fingerspelled
101,REF,#REF,R,,F,,ASL_2011_07_19_Brady_scene53-camera1.mov,1,,,,fingerspelled
102,RR,#RR,R,,R,,ASL_2008_02_29_scene13-camera1.mov,1,,,,fingerspelled
103,RR,#RR,R,,R,,ASL_2011_07_19_Brady_scene58-camera1.mov,1,,,,fingerspelled
104,RR,#RR,R,,R,,ASL_2007_05_24_scene25-camera1.mov,1,,,,fingerspelled
105,SS,#SS,S,,S,,ASL_2008_02_29_scene37-camera1.mov,1,,,,fingerspelled
106,SS,#SS,S,,S,,ASL_2011_07_19_Brady_scene89-camera1.mov,1,,,,fingerspelled
107,TTY,#TTY,T,,Y,,ASL_2008_03_28_scene24-camera1.mov,1,,,,fingerspelled
108,TTY,#TTY,T,,Y,,ASL_2011_07_22_Brady_scene12-camera1.mov,1,,,,fingerspelled
109,TV,#TV,T,,V,,ASL_2008_03_28_scene7-camera1.mov,1,,,,fingerspelled
110,TV,#TV,T,,V,,ASL_2011_07_19_Brady_scene111-camera1.mov,1,,,,fingerspelled
8685,VP,#VP_2,V,,K,,ASL_2008_03_28_scene31-camera1.mov,1,,,,fingerspelled
8686,VP,#VP_2,V,,K,,ASL_2011_07_22_Brady_scene20-camera1.mov,1,,,,fingerspelled
111,WHAT,#WHAT,W,,T,,ASL_2008_03_28_scene39-camera1.mov,1,,,,fingerspelled
112,WHAT,#WHAT,5,,T,,ASL_2011_07_22_Brady_scene27-camera1.mov,1,,,,fingerspelled
113,WILL,#WILL,W,,L,,ASL_2008_03_28_scene42-camera1.mov,1,,,,fingerspelled
114,WILL,#WILL,W,,L,,ASL_2011_07_22_Brady_scene30-camera1.mov,1,,,,fingerspelled
115,WOW,#WOW,W,,W,,ASL_2008_03_28_scene45-camera1.mov,1,,,,fingerspelled
116,WOW,#WOW,W,,W,,ASL_2011_07_22_Brady_scene33-camera1.mov,1,,,,fingerspelled
117,YES,#YES,Y,,S,,ASL_2008_03_28_scene47-camera1.mov,1,,,,fingerspelled
119,YES,#YES,Y,,S,,ASL_2011_07_22_Brady_scene35-camera1.mov,1,,,,fingerspelled
752,A,A,A,,A,,ASL_2008_01_11_scene4-camera1.mov,1,,,,alphabet
753,A,A,A,,A,,ASL_2008_05_12a_scene3-camera1.mov,1,,,,alphabet
754,A,A,A,,A,,ASL_2008_08_04_scene3-camera1.mov,1,,,,alphabet
755,A,A,A,,A,,ASL_2011_06_08_Brady_scene6-camera1.mov,1,,,,alphabet
756,A LEVEL ABOVE,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_02_15_scene50-camera1.mov,1,,,,
